"axis","kumagai_2024","donham_stier","expected_consequence"
"Protection coding","3-level Reference / Partial / Full","Binary MPA vs designated reference","Collapsing Partial changes the contrast set but not direction"
"Reference structure","Pooled protected-vs-unprotected within region (no pairing)","Each MPA paired to its own reference (within-pair difference)","Pairing removes among-site composition; lowers pre-heatwave baseline RR for lobster/kelp"
"Response scale","Raw density (count per 60 m2) with offset(log n_transects)","Proportion of site total (composition-standardized)","Proportion nets out shared site-level abundance trends; shrinks extreme RRs"
"Effect metric","Model marginal-mean contrast on the link scale","Log response ratio ln(MPA / Reference)","lnRR is symmetric and unit-free; comparable across taxa/programs"
"Error model / link","glmmTMB nbinom1/nbinom2/Tweedie, log link; (1 + year_std | site)","Gaussian on lnRR; glmmTMB with AR1(year|MPA) + Source RE (script 14)","Count vs Gaussian-on-log mainly affects SE/zeros, less the point estimate"
"Temporal contrast","Heatwave windows before/during/after (also TWFE on years-since-establishment)","pBACIPS time-since-establishment (main) and heatwave windows (script 14)","Establishment vs heatwave timing separates recovery from acute MHW effect"
"Synthesis / weighting","Single one-stage GLMM (population-level, conditional on site membership)","Two-stage inverse-variance multilevel meta-analysis (rma.mv)","IV weighting downweights noisy small-n MPAs; widens CIs vs one-stage GLMM"
"Heterogeneity","Absorbed by site random intercept/slope; MPAs exchangeable within region","Explicit (1|MPA),(1|Source) variance components; tau2, I2 reported","Explicit components reveal high between-MPA heterogeneity (large I2)"
"Kelp resilience","Separate pixel-level permutation test on satellite canopy (10,000 perms)","Same lnRR framework as all other taxa (no separate test)","Unified framework trades permutation robustness for cross-taxa comparability"
"Multiple testing","AIC model selection; Wald / permutation p-values","Benjamini-Hochberg FDR across meta-analytic p-values","FDR is more conservative than uncorrected Wald p-values"
